Id,SalePrice,predicted_dollars,predicted_log,residual_dollars,abs_error_dollars,residual_log,Neighborhood,OverallQual,recently_remodeled
1,208499.99999999983,206871.3634881426,12.236402542106939,-1628.636511857214,1628.636511857214,-0.011296574265621473,CollgCr,7,False
2,181500.00000000006,167544.73277512644,12.027396816576264,-13955.26722487362,13955.26722487362,-0.08161962573747417,Veenker,6,False
3,223500.0,214937.1589299958,12.275680354687971,-8562.841070004186,8562.841070004186,-0.04149081261071075,CollgCr,7,True
4,139999.9999999999,174305.72645293665,12.065430137325052,34305.72645293674,34305.72645293674,0.21602529290197836,Crawfor,7,True
5,249999.9999999998,289411.574517986,12.57269711426315,39411.574517986184,39411.574517986184,0.14347691742676716,NoRidge,8,False
6,143000.0000000001,163377.55491116646,11.999645923724168,20377.55491116637,20377.55491116637,0.12903902149958135,Mitchel,5,True
7,306999.99999999994,295115.2179090697,12.59028325544792,-11884.782090930268,11884.782090930268,-0.044323028445099055,Somerst,8,True
8,199999.99999999997,223358.4023641864,12.31393118600797,23358.40236418642,23358.40236418642,0.1078535404902965,NWAmes,7,False
9,129900.00000000012,157506.18061677905,11.96434520262269,27606.180616778933,27606.180616778933,0.18981730176422218,OldTown,7,True
10,118000.00000000009,128890.83438438561,11.765772765412008,10890.834384385525,10890.834384385525,0.08732438742384296,BrkSide,5,True
11,129500.00000000006,128457.57438276992,11.759341713812788,-1042.4256172301393,1042.4256172301393,-0.012102168286849846,Sawyer,5,False
12,344999.9999999997,348872.50857323996,12.758791717450862,3872.5085732402513,3872.5085732402513,0.007489122890842026,NridgHt,9,True
13,144000.0,134645.7691409686,11.809108212476227,-9354.230859031406,9354.230859031406,-0.06846731050224264,Sawyer,5,False
14,279499.9999999999,221589.41828847537,12.305907288344777,-57910.581711524515,57910.581711524515,-0.23485386104364459,CollgCr,7,True
15,156999.99999999994,153246.7931419715,11.93754295832161,-3753.206858028454,3753.206858028454,-0.02646449541530238,NAmes,6,False
16,131999.9999999999,148036.44272897523,11.901043234939477,16036.442728975322,16036.442728975322,0.11047845764209008,BrkSide,7,True
17,149000.0,149829.546399671,11.914256932001043,829.5463996710023,829.5463996710023,0.002548635686572709,NAmes,6,False
18,90000.00000000001,106825.26319142629,11.57645057848877,16825.263191426275,16825.263191426275,0.16887451812698373,Sawyer,4,False
19,158999.99999999997,156502.08131096596,11.957797857414134,-2497.918689034006,2497.918689034006,-0.018867913076633158,SawyerW,5,False
20,139000.00000000003,131485.17684179902,11.782068317336,-7514.823158201005,7514.823158201005,-0.060168088995554925,NAmes,5,True
21,325299.9999999999,319946.8795897704,12.672891619668817,-5353.120410229487,5353.120410229487,-0.019614566873359607,NridgHt,8,True
22,139400.00000000006,138562.9846074076,11.836290969218068,-837.0153925924678,837.0153925924678,-0.008818981665910997,IDOTRR,7,True
23,230000.0000000001,244582.36673610346,12.403923885847396,14582.366736103373,14582.366736103373,0.058084950125428136,CollgCr,8,False
24,129900.00000000012,138847.1891662159,11.840123688118913,8947.189166215772,8947.189166215772,0.06559578726044535,MeadowV,5,False
25,153999.99999999988,142756.04361642932,11.864429808693117,-11243.956383570563,11243.956383570563,-0.0802845661880589,Sawyer,5,True
